,feature,shap_importance
1,AGE,0.0067467838525772095
36,TSH,0.004409669432789087
38,SHBG,0.0034698424860835075
45,IGF1_IDS,0.0024486759211868048
35,FT3_RE,0.0024163697380572557
40,IGF1,0.002304866909980774
44,CTX_IDS,0.0019327393965795636
49,ANG2_IDS,0.0016763798194006085
13,SOMA_HT,0.0016387084033340216
37,TEST,0.0015325616113841534
23,THY_SLL,0.0012631836580112576
26,THY_SVL,0.0012524015037342906
24,THY_SWL,0.0012115417048335075
43,IGFBP3_IDS,0.0011739819310605526
27,THY_SVT,0.001101502450183034
46,OSTEO_IDS,0.0010119747603312135
16,SOMA_HC,0.0009607304818928242
22,THY_SVR,0.0009418913978151977
33,THY_FIN,0.0008825993281789124
0,SEX,0.0008732063579373062
14,SOMA_BW,0.0008572296937927604
32,THY_NRL,0.000824972172267735
3,INT_THY,0.0008069433970376849
41,VITD25_IDS,0.0007478368352167308
47,PINP_IDS,0.0007291992078535259
39,IGFBP3,0.0006742190453223884
42,BAP_IDS,0.000597566191572696
28,THY_SI,0.0005734765436500311
2,INT_SMOK,0.0005442401743493974
48,PTH_IDS,0.0005380159127525985
52,BMI,0.0005190714146010578
20,THY_SWR,0.0005156438564881682
25,THY_SDL,0.0005119880079291761
21,THY_SDR,0.00048641726607456803
19,THY_SLR,0.00043717207154259086
50,TIE2_IDS,0.00041588780004531145
17,THR_NNR,0.00039832029142417014
34,TPO,0.0003902216849382967
15,SOMA_WC,0.0003554216236807406
51,SCORESUM,0.0003129729884676635
4,INT_HYPER,0.00030256566242314875
7,INT_LUMP,0.00026926177088171244
30,THY_ER,0.0001881602220237255
31,THY_NLL,0.00018348621961195022
18,THR_NNL,0.00015939564036671072
5,INT_HYPO,0.0001111897945520468
29,THY_EL,3.2075982744572684e-05
11,INT_DNK,8.475069989799522e-06
6,INT_STRUMA,0.0
12,INT_RTR,0.0
8,INT_GOIT,0.0
9,INT_CARC,0.0
10,INT_OTH,0.0
