,feature,shap_importance
33,TSH,0.11648422479629517
28,THY_FIN,0.08175937086343765
1,AGE,0.06082307547330856
13,THY_SWR,0.05043092370033264
21,THY_SI,0.048036448657512665
35,FT3_RE,0.031133925542235374
36,HCGB_RE_Z,0.026161905378103256
29,SOMA_HT,0.020392216742038727
24,THR_NNR,0.015441051684319973
37,SCORESUM,0.013875192031264305
16,THY_SLL,0.008644221350550652
32,SOMA_HC,0.007855063304305077
26,THY_HL,0.006757042836397886
19,THY_SVL,0.00592330377548933
0,SEX,0.00581175833940506
34,TPO,0.005779727827757597
11,INT_SMOK,0.005162467248737812
18,THY_SDL,0.005159352440387011
15,THY_SVR,0.004533448256552219
14,THY_SDR,0.004176444839686155
20,THY_SVT,0.003934698179364204
2,INT_THY,0.003925567492842674
27,THR_NNL,0.0033475442323833704
38,BMI,0.0032543782144784927
30,SOMA_BW,0.002650536596775055
17,THY_SWL,0.0015994841232895851
23,THY_HR,0.0015262113884091377
31,SOMA_WC,0.0014442774700000882
12,THY_SLR,0.0007922307122498751
7,INT_NODE,0.0005588849307969213
4,INT_RIT,0.0005111059290356934
25,THY_EL,0.0003444269532337785
22,THY_ER,0.0002872872573789209
3,INT_HYPER,5.0670583732426167e-05
5,INT_HYPO,3.159901825711131e-05
10,INT_RTR,0.0
9,INT_DNK,0.0
8,INT_OTH,0.0
6,INT_GOIT,0.0
