,feature,shap_importance
36,TSH,0.19365915656089783
2,INT_SMOK,0.12620976567268372
1,AGE,0.10305076837539673
33,THY_FIN,0.09606081992387772
13,SOMA_HT,0.09515261650085449
28,THY_SI,0.07553143799304962
51,SCORESUM,0.06938236951828003
35,FT3_RE,0.0641608014702797
34,TPO,0.05930108204483986
19,THY_SLR,0.050956666469573975
46,OSTEO_IDS,0.040982138365507126
41,VITD25_IDS,0.03904584050178528
43,IGFBP3_IDS,0.03353813290596008
44,CTX_IDS,0.027230190113186836
52,BMI,0.01963810808956623
16,SOMA_HC,0.018180109560489655
45,IGF1_IDS,0.017872139811515808
40,IGF1,0.016272354871034622
49,ANG2_IDS,0.01606583781540394
37,TEST,0.013927512802183628
21,THY_SDR,0.013832529075443745
47,PINP_IDS,0.012231619097292423
20,THY_SWR,0.01131332665681839
14,SOMA_BW,0.010926647111773491
39,IGFBP3,0.007633702829480171
23,THY_SLL,0.007515656296163797
42,BAP_IDS,0.006728429812937975
24,THY_SWL,0.004829768091440201
31,THY_NLL,0.004179038107395172
38,SHBG,0.0038258142303675413
3,INT_THY,0.002883110661059618
22,THY_SVR,0.002711936365813017
27,THY_SVT,0.0020872089080512524
32,THY_NRL,0.0018642849754542112
25,THY_SDL,0.0016948170959949493
50,TIE2_IDS,0.0012908129720017314
17,THR_NNR,0.0009966265643015504
29,THY_EL,0.0007435159641318023
15,SOMA_WC,0.000735317065846175
30,THY_ER,0.0007210377953015268
7,INT_LUMP,0.0006755036301910877
48,PTH_IDS,0.0006293188198469579
26,THY_SVL,0.0004100631340406835
18,THR_NNL,0.0004045802925247699
4,INT_HYPER,0.00022418184380512685
5,INT_HYPO,0.00016550598957110196
12,INT_RTR,0.0
11,INT_DNK,0.0
10,INT_OTH,0.0
9,INT_CARC,0.0
8,INT_GOIT,0.0
6,INT_STRUMA,0.0
0,SEX,0.0
