original,translated,num_feat,excl_feat,win,scale
zz_nr,PID,PID,PID,SOMA_HT,SOMA_HT
sex,SEX,AGE,EXALOC1,SOMA_BW,SOMA_BW
age_ship1,AGE,AGE0,EXALOC0,SOMA_WC,SOMA_WC
age_ship0,AGE0,SOMA_HT,VISIT,SOMA_HC,SOMA_HC
exloc_ship1,EXALOC1,SOMA_BW,rau_4,THY_SLR,THY_SLR
exloc_ship0,EXALOC0,SOMA_WC,rau_5,THY_SWR,THY_SWR
visit_ship1,VISIT,SOMA_HC,rau_6,THY_SDR,THY_SDR
exdate_ship1,EXADAT1,THY_SLR,rau_7,THY_SVR,THY_SVR
exdate_ship0,EXADAT0,THY_SWR,rau_9,THY_SLL,THY_SLL
rau_1,INT_SMOK,THY_SDR,rau_10,THY_SWL,THY_SWL
schild_1,INT_THY,THY_SVR,rau_11,THY_SDL,THY_SDL
schild_2,INT_HYPER,THY_SLL,rau_12,THY_SVL,THY_SVL
schild_3,INT_HYPO,THY_SWL,rau_13,THY_SVT,THY_SVT
schild_4,INT_STRUMA,THY_SDL,rau_15,THY_SI,THY_SI
schild_5,INT_LUMP,THY_SVL,rau_16,THY_NLL,THY_NLL
schild_6,INT_GOIT,THY_SVT,rau_17,THY_NRL,THY_NRL
schild_7,INT_CARC,THY_SI,rau_18,TSH_RE,TSH
schild_8,INT_OTH,THY_NLL,rau_19,TPO,TPO
schild_998,INT_DNK,THY_NRL,rau_21,FT3_RE,FT3_RE
schild_999,INT_RTR,TSH,rau_22,FT4_RE,FT4
som_bsnr,SOMA_PAR,TSH_Z,rau_23,SHBG,SHBG
som_groe,SOMA_HT,FT3,rau_24,IGFBP3,IGFBP3
som_gew,SOMA_BW,FT4,rau_25,IGF1,IGF1
som_tail,SOMA_WC,TPO,rau_27,VITD25_IDS,VITD25_IDS
som_huef,SOMA_HC,TPO_Z,rau_28,BAP_IDS,BAP_IDS
som_note,SOMA_NOTE,FT3_RE,rau_29,IGFBP3_IDS,IGFBP3_IDS
blt_grav,BLT_PREG,FT3_RE_Z,rau_30,CTX_IDS,CTX_IDS
sd_kre,THR_NNR,FT4_RE,rau_31,IGF1_IDS,IGF1_IDS
sd_kli,THR_NNL,FT4_RE_Z,rau_33,OSTEO_IDS,OSTEO_IDS
sd_usnr,THY_OBS,HCGB_RE,rau_34,PINP_IDS,PINP_IDS
sd_grid,THY_ID,HCGB_RE_Z,rau_35,PTH_IDS,PTH_IDS
sd_vid,THY_VID,TSH_RE,rau_36,ANG2_IDS,ANG2_IDS
sd_beg,THY_BEG,TSH_RE_Z,rau_37,TIE2_IDS,TIE2_IDS
sd_end,THY_END,SHBG,rau_39,SCORESUM,AGE
sd_bsnr,THY_PAR,IGFBP3,rau_40,BMI,SCORESUM
sd_note,THY_NOTE,IGF1,rau_41,,THY_EL
sd_lre,THY_SLR,VITD25_IDS,rau_42,,THY_ER
sd_bre,THY_SWR,VITD25_Z_IDS,rau_43,,THY_FIN
sd_tre,THY_SDR,BAP_IDS,rau_45,,INT_SMOK
sd_lli,THY_SVR,BAP_Z_IDS,rau_46,,THR_NNR
sd_bli,THY_SLL,IGFBP3_IDS,rau_47,,THR_NNL
sd_tli,THY_SWL,IGFBP3_Z_IDS,rau_48,,BMI
sd_volre,THY_SDL,CTX_IDS,rau_49,,
sd_volli,THY_SVL,CTX_Z_IDS,rau_51,,
sd_volg,THY_SVT,IGF1_IDS,rau_52,,
sd_isth,THY_SI,IGF1_Z_IDS,rau_53,,
sd_echli,THY_EL,OSTEO_IDS,rau_54,,
sd_echre,THY_ER,OSTEO_Z_IDS,rau_55,,
sd_knli,THY_NLL,PINP_IDS,rau_57,,
sd_knre,THY_NRL,PTH_IDS,rau_58,,
sd_befnr,THY_FIN,ANG2_IDS,rau_59,,
sd_bef,THY_FFIN,TIE2_IDS,rau_60,,
